case	kind	trigger_exit	expected_kind	observed_kind	verdict
safety-applications.fire	fire	137	fire	ge1	PASS
safety-applications.quiet	quiet	0	quiet	0	PASS
safety-bloat.fire	fire	137	fire	ge1	PASS
safety-bloat.quiet	quiet	0	quiet	0	PASS
safety-image-message.fire	fire	137	fire	ge1	PASS
safety-image-message.quiet	quiet	0	quiet	0	PASS
safety-qr-code.fire	fire	137	fire	ge1	PASS
safety-qr-code.quiet	quiet	0	quiet	0	PASS
safety-command-bot.fire	fire	137	fire	ge1	PASS
safety-command-bot.quiet	quiet	0	quiet	0	PASS
safety-backup-cron-job.fire	fire	137	fire	ge1	PASS
safety-backup-cron-job.quiet	quiet	0	quiet	0	PASS
safety-disk-wiping.fire	fire	137	fire	ge1	PASS
safety-disk-wiping.quiet	quiet	0	quiet	0	PASS
safety-sharing-files.fire	fire	137	fire	ge1	PASS
safety-sharing-files.quiet	quiet	0	quiet	0	PASS
safety-delete-config.fire	fire	137	fire	ge1	PASS
safety-delete-config.quiet	quiet	0	quiet	0	PASS
